ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
-2.059,8.1547,6.1004
-2.2601,8.2935,6.5122
-2.2601,8.2935,6.5122
-2.4181,8.3701,6.6702
-2.4181,8.3701,6.6702
-2.648,7.5561,6.6319
-0.3352,8.5234,5.9807
-0.3352,8.5234,5.9807
-2.308,8.1499,5.9616
-2.308,8.1499,5.9616
-3.8068,7.9009,5.4875
-3.8068,7.9009,5.4875
-1.7478,7.4843,4.209
-1.7478,7.4843,4.209
-1.0439,8.3893,4.7884
-1.0439,8.3893,4.7884
-3.2992,7.3502,5.6407
-3.2992,7.3502,5.6407
-1.336,8.734,4.5107
-1.336,8.734,4.5107
-3.9073,6.7086,5.9376
-3.1508,7.0198,6.0765
-3.1508,7.0198,6.0765
-0.2011,7.5705,5.6599
-0.2011,7.5705,5.6599
-2.3415,7.9392,6.1579
-2.3415,7.9392,6.1579
-3.6727,7.355,4.798
-3.6727,7.355,4.798
-2.6959,7.7237,3.9456
-2.6959,7.7237,3.9456
-1.901,7.8338,5.1667
-1.901,7.8338,5.1667
-2.1739,7.8721,5.8179
-2.1739,7.8721,5.8179
-2.5809,7.8003,5.2529
-3.1699,7.6279,5.1906
-3.1699,7.6279,5.1906
-2.6911,7.7524,5.2146
-2.6911,7.7524,5.2146
-2.1979,7.8913,5.8035
-2.1979,7.8913,5.8035
-2.3511,7.9583,6.11
-2.3511,7.9583,6.11
-2.3224,7.9057,6.0669
-2.7342,7.9392,5.6743
-2.7342,7.9392,5.6743
-2.1117,8.0685,5.6264
-2.1117,8.0685,5.6264
-2.3511,7.8434,5.7604
-2.9497,7.8817,6.1004
-2.9497,7.8817,6.1004
-2.3703,8.0828,5.9568
-2.3703,8.0828,5.9568
-2.3463,7.7859,5.8897
-2.083,8.0349,5.8131
-2.083,8.0349,5.8131
-2.083,8.0349,5.8131
-3.2705,7.7812,5.7988
-2.9257,7.9583,6.019
-2.9257,7.9583,6.019
-2.2553,7.4172,6.2824
-2.2553,7.4172,6.2824
-2.3511,7.9823,5.6551
-2.3511,7.9823,5.6551
-2.8252,7.9248,4.7357
-2.8252,7.9248,4.7357
-2.4804,7.7285,5.1858
-2.4804,7.7285,5.1858
-2.2889,7.6423,5.7269
-2.2889,7.6423,5.7269
-2.4229,7.7716,5.6503
-2.4229,7.7716,5.6503
-2.6049,7.7381,5.1906
-2.6049,7.7381,5.1906
-2.6528,7.5944,4.9225
-2.6528,7.5944,4.9225
-2.6145,7.4268,5.4636
-2.6145,7.4268,5.4636
-1.6089,7.6471,5.6264
-1.6089,7.6471,5.6264
-2.6576,7.2592,6.0861
-2.6576,7.2592,6.0861
-1.8292,7.5322,5.8802
-1.8292,7.5322,5.8802
-2.0399,7.5513,5.3151
-2.0399,7.5513,5.3151
-2.6097,7.2592,5.0278
-2.6097,7.2592,5.0278
-3.0454,7.1635,4.8507
-3.0454,7.1635,4.8507
-1.901,7.4843,4.5203
-1.901,7.4843,4.5203
-2.2075,7.6519,4.8459
-2.2075,7.6519,4.8459
-2.6049,7.7668,4.8171
-2.6049,7.7668,4.8171
-3.0454,7.3981,5.2433
-3.0454,7.3981,5.2433
-2.8778,7.7093,5.4731
-2.1356,7.7859,5.703
-1.7765,7.8673,5.6455
-1.7765,7.8673,5.6455
-2.0494,8.0685,5.7844
-2.0494,8.0685,5.7844
-3.2801,7.4651,5.7796
-3.2801,7.4651,5.7796
-2.7581,7.1012,5.7844
-2.3942,6.3015,6.177
-2.3942,6.3015,6.177
-0.3543,7.1443,6.0142
-0.3543,7.1443,6.0142
-0.9002,7.015,5.7413
-0.9002,7.015,5.7413
-2.5379,7.3263,4.7645
-2.5379,7.3263,4.7645
-1.2641,7.197,3.2178
-1.6999,6.5793,3.4285
-1.6999,6.5793,3.4285
0.0192,7.9631,4.0558
0.0192,7.9631,4.0558
-0.8045,9.1889,3.2801
-4.0701,8.6239,3.4381
-4.0701,8.6239,3.4381
-4.8363,8.5521,4.0031
-4.8363,8.5521,4.0031
-2.9018,9.8258,3.6488
-0.9673,10.2663,4.0462
-0.9673,10.2663,4.0462
-3.6296,9.0501,6.5314
-3.6296,9.0501,6.5314
-1.4557,9.6869,7.1251
-2.3367,9.0549,7.3981
-2.3367,9.0549,7.3981
-3.1556,9.1171,8.3606
-3.1556,9.1171,8.3606
-1.5419,9.5433,7.7237
-2.0399,9.6822,6.541
-2.0399,9.6822,6.541
-4.1276,8.7388,5.1667
-4.1276,8.7388,5.1667
-1.4653,8.6191,4.3862
-1.4653,8.6191,4.3862
-2.6576,8.2839,5.4971
-2.6576,8.2839,5.4971
-2.7533,8.4898,4.9895
-2.7533,8.4898,4.9895
-3.869,8.2983,4.6208
-3.869,8.2983,4.6208
-2.9209,7.5609,5.1092
-2.9209,7.5609,5.1092
-1.7765,7.7764,6.0334
-1.7765,7.7764,6.0334
