ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
-4.9464,0.656,-3.1364
-4.9464,0.656,-3.1364
-7.1108,1.743,-4.4532
-7.1108,1.743,-4.4532
-14.9973,11.157,-6.9432
-14.9973,11.157,-6.9432
-13.7427,13.8624,-7.4651
-13.7427,13.8624,-7.4651
-11.789,26.4368,-3.1077
-11.789,26.4368,-3.1077
7.5753,31.6226,6.5841
7.5753,31.6226,6.5841
52.433,26.1064,21.7441
31.7184,20.3076,21.6053
31.7184,20.3076,21.6053
-0.1341,30.1669,20.2789
-0.1341,30.1669,20.2789
0.8763,30.4112,4.4053
0.8763,30.4112,4.4053
15.4761,22.5103,-11.133
18.33,-0.5124,-105.7471
18.33,-0.5124,-105.7471
18.33,-0.5124,-105.7471
2.083,-7.3694,-26.2644
2.083,-7.3694,-26.2644
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
13.3453,3.6727,-3.5195
13.3453,3.6727,-3.5195
13.3453,3.6727,-3.5195
13.3453,3.6727,-3.5195
-8.4851,8.193,-92.8807
-8.4851,8.193,-92.8807
-8.4851,8.193,-92.8807
-5.0901,-0.4788,0.7422
-5.0901,-0.4788,0.7422
-5.0901,-0.4788,0.7422
-5.0901,-0.4788,0.7422
-5.0901,-0.4788,0.7422
-5.0901,-0.4788,0.7422
-5.0901,-0.4788,0.7422
-2.1548,-3.1987,4.0941
-2.1548,-3.1987,4.0941
-2.4565,-2.3367,1.0726
-2.4565,-2.3367,1.0726
-1.8052,-0.8811,-1.0295
-1.8052,-0.8811,-1.0295
-7.8003,1.6664,-9.7061
-9.6247,2.8778,-8.3606
-9.6247,2.8778,-8.3606
-13.3118,8.7915,-5.0661
-13.3118,8.7915,-5.0661
-15.0739,20.887,-4.2377
-11.133,26.8486,0.1245
-11.133,26.8486,0.1245
24.8518,33.4231,12.2583
46.9982,31.9865,18.0283
46.9982,31.9865,18.0283
18.7274,24.2628,14.9063
18.7274,24.2628,14.9063
1.992,26.3219,8.4276
-7.58,28.3713,6.7469
-1.834,24.7704,5.2146
-1.834,24.7704,5.2146
8.9112,16.8743,-1.3695
8.9112,16.8743,-1.3695
15.591,2.9784,-62.7137
4.7645,-9.6486,-49.8185
4.7645,-9.6486,-49.8185
15.682,7.9296,-5.8706
15.682,7.9296,-5.8706
10.6398,8.7628,10.5441
10.6398,8.7628,10.5441
5.7652,3.7158,3.3758
5.7652,3.7158,3.3758
4.5346,0.4405,-2.7007
4.5346,0.4405,-2.7007
4.7357,-2.4277,-9.7779
4.7357,-2.4277,-9.7779
2.1356,-1.8723,-2.2553
2.1356,-1.8723,-2.2553
0.7949,-1.5562,0.5986
0.7949,-1.5562,0.5986
1.7047,-2.7102,2.083
1.7047,-2.7102,2.083
3.2178,-1.4748,8.1116
3.2178,-1.4748,8.1116
1.5419,4.616,10.75
1.5419,4.616,10.75
-7.695,16.678,8.2504
-7.695,16.678,8.2504
-7.695,16.678,8.2504
-2.5426,42.5162,0.0814
14.777,53.6253,6.5505
14.777,53.6253,6.5505
32.9777,46.8785,16.3332
32.9777,46.8785,16.3332
19.9581,31.5747,9.0836
19.9581,31.5747,9.0836
3.7014,20.2933,-27.6147
3.7014,20.2933,-27.6147
-2.4517,-4.2042,33.9929
-2.4517,-4.2042,33.9929
-13.7619,7.2161,-9.1602
-13.7619,7.2161,-9.1602
-6.5936,3.122,-0.9098
-4.2569,1.0104,2.1835
-4.2569,1.0104,2.1835
-1.0678,-2.4756,0.7949
-1.0678,-2.4756,0.7949
-0.4884,-3.4429,1.3838
-0.4884,-3.4429,1.3838
-1.4557,-4.3574,1.4365
-1.4557,-4.3574,1.4365
-1.6807,-3.5913,1.3551
-1.6807,-3.5913,1.3551
-2.3607,-2.1739,0.5267
-2.3607,-2.1739,0.5267
-3.3615,-1.4174,-0.0144
-3.3615,-1.4174,-0.0144
-5.8562,0.4645,0.972
-5.8562,0.4645,0.972
-9.7396,2.7007,1.6041
-9.7396,2.7007,1.6041
-4.6783,3.1029,-0.2059
-4.6783,3.1029,-0.2059
-9.6343,18.2151,3.0502
-9.6343,18.2151,3.0502
-10.3621,38.8962,7.5465
-10.3621,38.8962,7.5465
-10.3621,38.8962,7.5465
-10.3621,38.8962,7.5465
-10.3621,38.8962,7.5465
-10.3621,38.8962,7.5465
-10.3621,38.8962,7.5465
-10.3621,38.8962,7.5465
-10.3621,38.8962,7.5465
-10.3621,38.8962,7.5465
-1.0295,41.7932,8.4132
-1.0295,41.7932,8.4132
-0.3543,-5.9328,-42.6072
-0.3543,-5.9328,-42.6072
1.9154,-9.1554,-44.106
1.9154,-9.1554,-44.106
10.6111,8.1211,4.8171
10.6111,8.1211,4.8171
6.0861,5.0996,3.5243
6.0861,5.0996,3.5243
3.5099,2.5666,-0.838
3.5099,2.5666,-0.838
4.5729,-0.3208,-9.6103
4.5729,-0.3208,-9.6103
2.1069,-1.5897,-4.5346
2.1069,-1.5897,-4.5346
2.1069,-1.5897,-4.5346
0.6512,-1.2594,-0.2777
0.6512,-1.2594,-0.2777
2.6815,-3.0215,1.4796
2.6815,-3.0215,1.4796
3.5291,-2.7007,4.956
3.5291,-2.7007,4.956
3.3088,2.7725,7.7428
1.1636,7.0964,9.4954
1.1636,7.0964,9.4954
1.2881,30.8948,2.0111
1.2881,30.8948,2.0111
11.248,57.5039,6.7038
30.6985,47.4579,19.4553
30.6985,47.4579,19.4553
30.6985,47.4579,19.4553
24.8135,33.854,13.5416
10.2137,18.4354,-4.7836
10.2137,18.4354,-4.7836
-4.6926,-10.5584,-46.912
-4.6926,-10.5584,-46.912
-9.1075,2.9592,16.1896
-9.1075,2.9592,16.1896
-9.3901,3.0071,3.3519
-9.3901,3.0071,3.3519
-6.3734,0.7566,-1.7047
-6.3734,0.7566,-1.7047
-3.0598,-2.1835,-2.2458
-3.0598,-2.1835,-2.2458
-1.4365,-2.9592,-2.7485
-1.1684,-2.6145,-1.4796
-1.1684,-2.6145,-1.4796
-1.0678,-2.873,0.9242
-1.0678,-2.873,0.9242
-1.3982,-3.3806,2.3176
-2.2027,-2.8156,1.9297
-2.2027,-2.8156,1.9297
-2.5857,-1.6807,-1.1971
-2.5857,-1.6807,-1.1971
-3.9504,-0.0144,-1.494
-3.9504,-0.0144,-1.494
-3.9504,-0.0144,-1.494
-6.9001,2.6863,-3.553
-6.9001,2.6863,-3.553
-14.844,11.0277,-6.7229
-14.844,11.0277,-6.7229
-17.3915,22.7258,-4.3574
-17.3915,22.7258,-4.3574
-3.2561,34.103,6.3015
34.4478,34.1174,21.701
34.4478,34.1174,21.701
46.6391,28.9028,21.385
46.6391,28.9028,21.385
14.461,26.2644,14.6094
-1.0151,25.4791,2.5283
-1.0151,25.4791,2.5283
-1.0151,25.4791,2.5283
3.7302,18.8615,-2.6528
3.7302,18.8615,-2.6528
-9.2129,-2.1739,-83.5768
-9.2129,-2.1739,-83.5768
-8.4228,0.7039,106.767
13.2639,8.3031,-11.8992
13.2639,8.3031,-11.8992
11.497,9.5624,7.8865
11.497,9.5624,7.8865
6.0334,5.4875,4.1132
6.0334,5.4875,4.1132
3.9361,2.4277,-1.1013
3.9361,2.4277,-1.1013
4.4293,-1.2115,-11.8896
4.4293,-1.2115,-11.8896
1.81,-1.5419,-4.6304
0.8906,-1.0295,-0.6847
0.8906,-1.0295,-0.6847
0.4788,-1.1444,1.0774
0.4788,-1.1444,1.0774
1.1875,-1.1588,4.4819
1.1875,-1.1588,4.4819
2.2458,2.715,8.6048
0.2586,5.7988,9.6247
0.2586,5.7988,9.6247
-3.1651,27.1359,1.2689
-3.1651,27.1359,1.2689
-0.7039,53.4338,6.9336
-0.7039,53.4338,6.9336
23.4632,50.556,24.3969
23.4632,50.556,24.3969
22.9269,27.6961,5.9233
22.9269,27.6961,5.9233
-0.5124,10.7787,-73.4685
-0.5124,10.7787,-73.4685
-3.9744,-3.6679,15.2175
-3.9744,-3.6679,15.2175
-10.1179,2.9449,9.3518
-10.1179,2.9449,9.3518
-10.999,3.6871,6.5936
-6.7612,0.6943,1.3743
-6.7612,0.6943,1.3743
-5.296,-1.5897,1.1396
-2.7916,-3.8116,0.0766
-2.7916,-3.8116,0.0766
-2.3032,-3.8786,-2.9161
-2.3032,-3.8786,-2.9161
-1.6472,-3.5769,-1.2354
-1.7717,-3.8116,-0.6895
-1.7717,-3.8116,-0.6895
-3.3136,-3.1556,0.7709
-3.2705,-2.0016,-0.2777
-3.2705,-2.0016,-0.2777
-3.2705,-2.0016,-0.2777
-3.6248,-0.8475,-1.9489
-6.1579,1.1636,-0.2251
-6.1579,1.1636,-0.2251
-6.4117,3.1603,-2.4229
-6.4117,3.1603,-2.4229
-6.4117,3.1603,-2.4229
-11.8226,11.4251,0.565
-11.8226,11.4251,0.565
-12.2583,26.0681,4.5059
-11.8705,32.7479,6.8857
-11.8705,32.7479,6.8857
5.6599,34.7399,9.0022
5.6599,34.7399,9.0022
44.0581,30.9858,15.3804
44.0581,30.9858,15.3804
18.9621,24.9284,14.8967
8.9639,24.1719,8.5856
8.9639,24.1719,8.5856
2.2027,22.4385,-3.3232
2.2027,22.4385,-3.3232
2.3559,2.3415,-75.1684
2.3559,2.3415,-75.1684
-2.0399,-9.0453,-17.358
-2.0399,-9.0453,-17.358
8.7963,6.2728,-9.6726
8.7963,6.2728,-9.6726
13.6661,8.7963,6.0525
12.6366,6.1292,4.9943
12.6366,6.1292,4.9943
5.0949,3.4907,-0.3065
5.0949,3.4907,-0.3065
5.3917,0.0239,-8.5281
5.3917,0.0239,-8.5281
3.4668,-1.4461,-5.4253
3.4668,-1.4461,-5.4253
1.2498,-2.2027,-2.0494
1.2498,-2.2027,-2.0494
3.6871,-5.3678,1.8483
3.6871,-5.3678,1.8483
2.5905,-3.2801,5.023
2.5905,-3.2801,5.023
-0.5602,1.6951,8.1786
-0.5602,1.6951,8.1786
-5.1763,8.5712,8.5329
-5.1763,8.5712,8.5329
-7.3454,36.4206,-2.2889
-7.3454,36.4206,-2.2889
4.7501,62.9867,2.0782
4.7501,62.9867,2.0782
4.7501,62.9867,2.0782
33.0735,49.1099,20.8679
33.0735,49.1099,20.8679
9.8881,25.6611,7.9057
-0.3065,12.5983,-82.0684
-0.3065,12.5983,-82.0684
-3.6488,2.5426,21.3419
-3.6488,2.5426,21.3419
-16.1465,2.7485,-3.6823
-16.1465,2.7485,-3.6823
-8.1977,2.3798,-5.0422
-8.1977,2.3798,-5.0422
-5.1811,0.2729,-2.3224
-5.1811,0.2729,-2.3224
-0.7087,-3.7158,-1.2306
0.3591,-4.9943,-2.7916
0.3591,-4.9943,-2.7916
1.3168,-4.5586,0.5842
1.3168,-4.5586,0.5842
0.4549,-4.6208,2.0686
0.4549,-4.6208,2.0686
-1.5754,-4.9416,1.5036
-1.5754,-4.9416,1.5036
-3.2274,-1.0822,-0.1197
-3.2274,-1.0822,-0.1197
-4.2473,0.723,-0.8428
-4.2473,0.723,-0.8428
-5.8897,2.0734,-1.8866
-5.8897,2.0734,-1.8866
-12.6701,5.5498,-3.5147
