ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
3.2801,7.8338,-1.9106
4.2329,7.4029,-3.1747
4.2329,7.4029,-3.1747
4.4389,6.6798,-1.7238
4.4389,6.6798,-1.7238
3.6296,6.7038,-2.1596
3.6296,6.7038,-2.1596
2.5235,7.3694,0.1676
2.5235,7.3694,0.1676
3.1268,7.3598,2.1165
3.1268,7.3598,2.1165
3.5195,6.9623,1.8196
3.5195,6.9623,1.8196
4.8507,6.2968,1.312
4.8507,6.2968,1.312
6.3255,5.1475,1.0534
6.3255,5.1475,1.0534
6.7995,4.3383,0.9146
6.7995,4.3383,0.9146
5.6072,4.3431,1.0774
5.6072,4.3431,1.0774
4.3862,4.4293,1.0582
4.3862,4.4293,1.0582
3.62,4.142,1.336
3.62,4.142,1.336
4.6687,3.4429,0.7661
4.6687,3.4429,0.7661
5.4444,3.5434,0.9385
5.4444,3.5434,0.9385
6.4117,4.0749,0.9098
6.4117,4.0749,0.9098
6.4117,4.0749,0.9098
7.3023,4.7645,-0.0144
7.3023,4.7645,-0.0144
8.4994,6.1387,0.8092
10.3046,11.0373,6.517
10.3046,11.0373,6.517
10.3046,11.0373,6.517
12.7467,15.117,3.2657
11.4587,16.8791,-3.1939
11.4587,16.8791,-3.1939
11.4587,16.8791,-3.1939
6.6463,12.6127,2.1021
6.6463,12.6127,2.1021
3.1508,8.8538,1.3503
3.1508,8.8538,1.3503
3.6152,6.7756,0.9625
3.6152,6.7756,0.9625
6.3015,7.2353,1.087
6.5553,9.1459,1.0391
6.5553,9.1459,1.0391
5.9328,10.2855,0.3256
5.9328,10.2855,0.3256
4.2138,9.5385,1.7669
4.2138,9.5385,1.7669
3.7924,9.3182,2.3511
3.7924,9.3182,2.3511
4.2808,8.8873,1.7047
4.2808,8.8873,1.7047
4.4484,8.6383,0.7614
4.4484,8.6383,0.7614
4.4101,8.6383,0.3783
4.3479,8.6,0.34
4.3479,8.6,0.34
4.3862,8.0972,0.2682
4.4819,7.6854,0.1724
4.4819,7.6854,0.1724
4.6687,7.173,-0.0096
4.6448,6.4835,-0.3926
4.6448,6.4835,-0.3926
4.6639,5.9951,-0.4118
4.6639,5.9951,-0.4118
4.8219,5.8658,-0.067
4.8219,5.8658,-0.067
4.8267,5.9664,0.2873
4.8267,5.9664,0.2873
4.8267,5.9664,0.2873
4.7788,6.2872,0.4357
4.6256,6.6319,0.4453
4.6256,6.6319,0.4453
4.7501,6.8666,-0.0144
4.7501,6.8666,-0.0144
5.2241,7.3646,-0.316
5.3199,7.6471,-0.249
5.3199,7.6471,-0.249
5.4875,7.8434,-0.3639
5.7078,7.8482,-0.2825
5.7078,7.8482,-0.2825
5.5067,7.9871,0.5938
5.5067,7.9871,0.5938
5.5067,7.9871,0.5938
4.2713,8.1594,0.7614
4.2713,8.1594,0.7614
4.4724,8.7245,-1.0726
4.6878,9.5529,3.5626
4.6878,9.5529,3.5626
3.4477,10.0221,1.245
